"filename", "language", "HTML", "XML", "JSON", "C#", "CSS", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\demo\demo\umeditor\jsp\getContent.jsp", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Administrator\Desktop\demo\demo\umeditor\jsp\imageUp.jsp", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Administrator\Desktop\demo\demo\umeditor\lang\en\en.js", "JavaScript", 0, 0, 0, 0, 0, 145, 0, 4, 1, 150
"c:\Users\Administrator\Desktop\demo\demo\umeditor\lang\zh-cn\zh-cn.js", "JavaScript", 0, 0, 0, 0, 0, 143, 0, 4, 3, 150
"c:\Users\Administrator\Desktop\demo\demo\umeditor\themes\default\css\umeditor.css", "CSS", 0, 0, 0, 0, 678, 0, 0, 28, 67, 773
"c:\Users\Administrator\Desktop\demo\demo\umeditor\themes\default\css\umeditor.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 5, 2, 8
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 3, 1, 7
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\Symbola.svg", "XML", 0, 5102, 0, 0, 0, 0, 0, 0, 0, 5102
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneral-webfont.svg", "XML", 0, 3318, 0, 0, 0, 0, 0, 0, 0, 3318
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbol-webfont.svg", "XML", 0, 1738, 0, 0, 0, 0, 0, 0, 0, 1738
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralbolita-webfont.svg", "XML", 0, 1137, 0, 0, 0, 0, 0, 0, 0, 1137
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\font\stixgeneral-bundle\stixgeneralitalic-webfont.svg", "XML", 0, 1089, 0, 0, 0, 0, 0, 0, 0, 1089
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\mathquill.css", "CSS", 0, 0, 0, 0, 348, 0, 0, 9, 1, 358
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\mathquill.js", "JavaScript", 0, 0, 0, 0, 0, 2827, 0, 508, 554, 3889
"c:\Users\Administrator\Desktop\demo\demo\umeditor\third-party\mathquill\mathquill.min.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\demo\demo\umeditor\umeditor.config.js", "JavaScript", 0, 0, 0, 0, 0, 107, 0, 170, 48, 325
"c:\Users\Administrator\Desktop\demo\demo\umeditor\umeditor.js", "JavaScript", 0, 0, 0, 0, 0, 7720, 0, 2229, 1058, 11007
"c:\Users\Administrator\Desktop\demo\index.html", "HTML", 485, 0, 0, 0, 0, 0, 0, 9, 14, 508
"c:\Users\Administrator\Desktop\demo\index.json", "JSON", 0, 0, 154, 0, 0, 0, 0, 0, 0, 154
"c:\Users\Administrator\Desktop\demo\js\JsBarcode.all.min.js", "JavaScript", 0, 0, 0, 0, 0, 3849, 0, 1, 1, 3851
"c:\Users\Administrator\Desktop\demo\js\demo.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 8, 0, 9
"c:\Users\Administrator\Desktop\demo\js\html2canvas.js", "JavaScript", 0, 0, 0, 0, 0, 6661, 0, 266, 108, 7035
